elevation_m,area_dam2,capacity_dam3
625.45,0,0
625.451,0.027,0
625.452,0.053,0.001
625.453,0.08,0.001
625.454,0.107,0.002
625.455,0.133,0.002
625.456,0.16,0.002
625.457,0.187,0.003
625.458,0.213,0.003
625.459,0.24,0.004
625.46,0.266,0.004
625.461,0.293,0.004
625.462,0.32,0.005
625.463,0.346,0.005
625.464,0.373,0.006
625.465,0.4,0.006
625.466,0.426,0.006
625.467,0.453,0.007
625.468,0.48,0.007
625.469,0.506,0.008
625.47,0.533,0.008
625.471,0.56,0.008
625.472,0.586,0.009
625.473,0.613,0.009
625.474,0.639,0.01
625.475,0.666,0.01
625.476,0.693,0.011
625.477,0.719,0.011
625.478,0.746,0.011
625.479,0.773,0.012
625.48,0.799,0.012
625.481,0.826,0.013
625.482,0.853,0.013
625.483,0.879,0.013
625.484,0.906,0.014
625.485,0.933,0.014
625.486,0.959,0.015
625.487,0.986,0.015
625.488,1.01,0.015
625.489,1.04,0.016
625.49,1.07,0.016
625.491,1.09,0.017
625.492,1.12,0.017
625.493,1.15,0.017
625.494,1.17,0.018
625.495,1.2,0.018
625.496,1.23,0.019
625.497,1.25,0.019
625.498,1.28,0.019
625.499,1.31,0.02
625.5,1.33,0.02
625.501,1.36,0.021
625.502,1.39,0.021
625.503,1.41,0.021
625.504,1.44,0.022
625.505,1.47,0.022
625.506,1.49,0.023
625.507,1.52,0.023
625.508,1.55,0.023
625.509,1.57,0.024
625.51,1.6,0.024
625.511,1.63,0.025
625.512,1.65,0.025
625.513,1.68,0.025
625.514,1.71,0.026
625.515,1.73,0.026
625.516,1.76,0.027
625.517,1.79,0.027
625.518,1.81,0.028
625.519,1.84,0.028
625.52,1.87,0.028
625.521,1.89,0.029
625.522,1.92,0.029
625.523,1.95,0.03
625.524,1.97,0.03
625.525,2,0.03
625.526,2.02,0.031
625.527,2.05,0.031
625.528,2.08,0.032
625.529,2.1,0.032
625.53,2.13,0.032
625.531,2.16,0.033
625.532,2.18,0.033
625.533,2.21,0.034
625.534,2.24,0.034
625.535,2.26,0.034
625.536,2.29,0.035
625.537,2.32,0.035
625.538,2.34,0.036
625.539,2.37,0.036
625.54,2.4,0.036
625.541,2.42,0.037
625.542,2.45,0.037
625.543,2.48,0.038
625.544,2.5,0.038
625.545,2.53,0.038
625.546,2.56,0.039
625.547,2.58,0.039
625.548,2.61,0.04
625.549,2.64,0.04
625.55,2.66,0.04
625.551,2.69,0.041
625.552,2.72,0.041
625.553,2.74,0.042
625.554,2.77,0.042
625.555,2.8,0.042
625.556,2.82,0.043
625.557,2.85,0.043
625.558,2.88,0.044
625.559,2.9,0.044
625.56,2.93,0.045
625.561,2.96,0.045
625.562,2.98,0.045
625.563,3.01,0.046
625.564,3.04,0.046
625.565,3.06,0.047
625.566,3.09,0.047
625.567,3.12,0.047
625.568,3.14,0.048
625.569,3.17,0.048
625.57,3.2,0.049
625.571,3.22,0.049
625.572,3.25,0.049
625.573,3.28,0.05
625.574,3.3,0.05
625.575,3.33,0.051
625.576,3.36,0.051
625.577,3.38,0.051
625.578,3.41,0.052
625.579,3.44,0.052
625.58,3.46,0.053
625.581,3.49,0.053
625.582,3.52,0.053
625.583,3.54,0.054
625.584,3.57,0.054
625.585,3.6,0.055
625.586,3.62,0.055
625.587,3.65,0.055
625.588,3.68,0.056
625.589,3.7,0.056
625.59,3.73,0.057
625.591,3.76,0.057
625.592,3.78,0.057
625.593,3.81,0.058
625.594,3.84,0.058
625.595,3.86,0.059
625.596,3.89,0.059
625.597,3.92,0.059
625.598,3.94,0.06
625.599,3.97,0.06
625.6,4,0.061
625.601,4.02,0.061
625.602,4.05,0.061
625.603,4.08,0.062
625.604,4.1,0.062
625.605,4.13,0.063
625.606,4.16,0.063
625.607,4.18,0.064
625.608,4.21,0.064
625.609,4.24,0.064
625.61,4.26,0.065
625.611,4.29,0.065
625.612,4.32,0.066
625.613,4.34,0.066
625.614,4.37,0.066
625.615,4.4,0.067
625.616,4.42,0.067
625.617,4.45,0.068
625.618,4.48,0.068
625.619,4.5,0.068
625.62,4.53,0.069
625.621,4.56,0.069
625.622,4.58,0.07
625.623,4.61,0.07
625.624,4.64,0.07
625.625,4.66,0.071
625.626,4.69,0.071
625.627,4.72,0.072
625.628,4.74,0.072
625.629,4.77,0.072
625.63,4.8,0.073
625.631,4.82,0.073
625.632,4.85,0.074
625.633,4.88,0.074
625.634,4.9,0.074
625.635,4.93,0.075
625.636,4.96,0.075
625.637,4.98,0.076
625.638,5.01,0.076
625.639,5.04,0.076
625.64,5.06,0.077
625.641,5.09,0.077
625.642,5.12,0.078
625.643,5.14,0.078
625.644,5.17,0.078
625.645,5.2,0.079
625.646,5.22,0.079
625.647,5.25,0.08
625.648,5.28,0.08
625.649,5.3,0.081
625.65,5.33,0.081
625.651,5.36,0.081
625.652,5.38,0.082
625.653,5.41,0.082
625.654,5.44,0.083
625.655,5.46,0.083
625.656,5.49,0.083
625.657,5.52,0.084
625.658,5.54,0.084
625.659,5.57,0.085
625.66,5.6,0.085
625.661,5.62,0.085
625.662,5.65,0.086
625.663,5.68,0.086
625.664,5.7,0.087
625.665,5.73,0.087
625.666,5.76,0.087
625.667,5.78,0.088
625.668,5.81,0.088
625.669,5.84,0.089
625.67,5.86,0.089
625.671,5.89,0.089
625.672,5.92,0.09
625.673,5.94,0.09
625.674,5.97,0.091
625.675,6,0.091
625.676,6.02,0.091
625.677,6.05,0.092
625.678,6.07,0.092
625.679,6.1,0.093
625.68,6.13,0.093
625.681,6.15,0.093
625.682,6.18,0.094
625.683,6.21,0.094
625.684,6.23,0.095
625.685,6.26,0.095
625.686,6.29,0.095
625.687,6.31,0.096
625.688,6.34,0.096
625.689,6.37,0.097
625.69,6.39,0.097
625.691,6.42,0.098
625.692,6.45,0.098
625.693,6.47,0.098
625.694,6.5,0.099
625.695,6.53,0.099
625.696,6.55,0.1
625.697,6.58,0.1
625.698,6.61,0.1
625.699,6.63,0.101
625.7,6.66,0.101
625.701,6.69,0.102
625.702,6.71,0.102
625.703,6.74,0.102
625.704,6.77,0.103
625.705,6.79,0.103
625.706,6.82,0.104
