elevation_m,area_dam2,capacity_dam3
616.001,0,0
616.002,13.8,0.21
616.003,27.6,0.421
616.004,41.4,0.631
616.005,55.2,0.841
616.006,69,1.05
616.007,82.8,1.26
616.008,96.6,1.47
616.009,110,1.68
616.01,124,1.89
616.011,138,2.1
616.012,152,2.31
616.013,166,2.52
616.014,179,2.73
616.015,193,2.94
616.016,207,3.15
616.017,221,3.36
616.018,235,3.58
616.019,248,3.79
616.02,262,4
616.021,276,4.21
616.022,290,4.42
616.023,304,4.63
616.024,317,4.84
616.025,331,5.05
616.026,345,5.26
616.027,359,5.47
616.028,373,5.68
616.029,386,5.89
616.03,400,6.1
616.031,414,6.31
616.032,428,6.52
616.033,442,6.73
616.034,456,6.94
616.035,469,7.15
616.036,483,7.36
616.037,497,7.57
616.038,511,7.78
616.039,525,7.99
616.04,538,8.2
616.041,552,8.41
616.042,566,8.62
616.043,580,8.83
616.044,594,9.04
616.045,607,9.25
616.046,621,9.46
616.047,635,9.67
616.048,649,9.88
616.049,663,10.1
616.05,676,10.3
616.051,690,10.5
616.052,704,10.7
616.053,718,10.9
616.054,732,11.1
616.055,745,11.4
616.056,759,11.6
616.057,773,11.8
616.058,787,12
616.059,801,12.2
616.06,814,12.4
616.061,828,12.6
616.062,842,12.8
616.063,856,13
616.064,870,13.2
616.065,883,13.5
616.066,897,13.7
616.067,911,13.9
616.068,925,14.1
616.069,939,14.3
616.07,952,14.5
616.071,966,14.7
616.072,980,14.9
616.073,994,15.1
616.074,1010,15.4
616.075,1020,15.6
616.076,1040,15.8
616.077,1050,16
616.078,1060,16.2
616.079,1080,16.4
616.08,1090,16.6
616.081,1100,16.8
616.082,1120,17
616.083,1130,17.2
616.084,1150,17.5
616.085,1160,17.7
616.086,1170,17.9
616.087,1190,18.1
616.088,1200,18.3
616.089,1210,18.5
616.09,1230,18.7
616.091,1240,18.9
616.092,1260,19.1
616.093,1270,19.3
616.094,1280,19.6
616.095,1300,19.8
616.096,1310,20
616.097,1330,20.2
616.098,1340,20.4
616.099,1350,20.6
616.1,1370,20.8
616.101,1380,21
616.102,1390,21.2
616.103,1410,21.5
616.104,1420,21.7
616.105,1440,21.9
616.106,1450,22.1
616.107,1460,22.3
616.108,1480,22.5
616.109,1490,22.7
616.11,1500,22.9
616.111,1520,23.1
616.112,1530,23.3
616.113,1550,23.6
616.114,1560,23.8
616.115,1570,24
616.116,1590,24.2
616.117,1600,24.4
616.118,1610,24.6
616.119,1630,24.8
616.12,1640,25
616.121,1660,25.2
616.122,1670,25.4
616.123,1680,25.7
616.124,1700,25.9
616.125,1710,26.1
616.126,1730,26.3
616.127,1740,26.5
616.128,1750,26.7
616.129,1770,26.9
616.13,1780,27.1
616.131,1790,27.3
616.132,1810,27.5
616.133,1820,27.8
616.134,1840,28
616.135,1850,28.2
616.136,1860,28.4
616.137,1880,28.6
616.138,1890,28.8
616.139,1900,29
616.14,1920,29.2
616.141,1930,29.4
616.142,1950,29.7
616.143,1960,29.9
616.144,1970,30.1
616.145,1990,30.3
616.146,2000,30.5
616.147,2020,30.7
616.148,2030,30.9
616.149,2040,31.1
616.15,2060,31.3
616.151,2070,31.5
616.152,2080,31.8
616.153,2100,32
616.154,2110,32.2
616.155,2130,32.4
616.156,2140,32.6
616.157,2150,32.8
616.158,2170,33
616.159,2180,33.2
616.16,2190,33.4
616.161,2210,33.6
616.162,2220,33.9
616.163,2240,34.1
616.164,2250,34.3
616.165,2260,34.5
616.166,2280,34.7
616.167,2290,34.9
616.168,2310,35.1
616.169,2320,35.3
616.17,2330,35.5
616.171,2350,35.8
616.172,2360,36
616.173,2370,36.2
616.174,2390,36.4
616.175,2400,36.6
616.176,2420,36.8
616.177,2430,37
616.178,2440,37.2
616.179,2460,37.4
616.18,2470,37.6
616.181,2480,37.9
616.182,2500,38.1
616.183,2510,38.3
616.184,2530,38.5
616.185,2540,38.7
616.186,2550,38.9
616.187,2570,39.1
616.188,2580,39.3
616.189,2600,39.5
616.19,2610,39.7
616.191,2620,40
616.192,2640,40.2
616.193,2650,40.4
616.194,2660,40.6
616.195,2680,40.8
616.196,2690,41
616.197,2710,41.2
616.198,2720,41.4
616.199,2730,41.6
616.2,2750,41.8
616.201,2760,42.1
616.202,2770,42.3
616.203,2790,42.5
616.204,2800,42.7
616.205,2820,42.9
616.206,2830,43.1
616.207,2840,43.3
616.208,2860,43.5
616.209,2870,43.7
616.21,2880,44
616.211,2900,44.2
616.212,2910,44.4
616.213,2930,44.6
616.214,2940,44.8
616.215,2950,45
616.216,2970,45.2
616.217,2980,45.4
616.218,3000,45.6
616.219,3010,45.8
616.22,3020,46.1
616.221,3040,46.3
616.222,3050,46.5
616.223,3060,46.7
616.224,3080,46.9
616.225,3090,47.1
616.226,3110,47.3
616.227,3120,47.5
616.228,3130,47.7
616.229,3150,47.9
616.23,3160,48.2
616.231,3170,48.4
616.232,3190,48.6
616.233,3200,48.8
616.234,3220,49
616.235,3230,49.2
616.236,3240,49.4
616.237,3260,49.6
616.238,3270,49.8
616.239,3290,50.1
616.24,3300,50.3
616.241,3310,50.5
616.242,3330,50.7
616.243,3340,50.9
616.244,3350,51.1
616.245,3370,51.3
616.246,3380,51.5
616.247,3400,51.7
616.248,3410,51.9
616.249,3420,52.2
616.25,3440,52.4
616.251,3450,52.6
616.252,3460,52.8
616.253,3480,53
616.254,3490,53.2
616.255,3510,53.4
616.256,3520,53.6
616.257,3530,53.8
616.258,3550,54
616.259,3560,54.3
616.26,3580,54.5
616.261,3590,54.7
616.262,3600,54.9
616.263,3620,55.1
616.264,3630,55.3
616.265,3640,55.5
616.266,3660,55.7
616.267,3670,55.9
616.268,3690,56.1
616.269,3700,56.4
616.27,3710,56.6
616.271,3730,56.8
616.272,3740,57
616.273,3750,57.2
616.274,3770,57.4
616.275,3780,57.6
616.276,3800,57.8
616.277,3810,58
616.278,3820,58.3
616.279,3840,58.5
616.28,3850,58.7
616.281,3860,58.9
616.282,3880,59.1
616.283,3890,59.3
616.284,3910,59.5
616.285,3920,59.7
616.286,3930,59.9
616.287,3950,60.1
616.288,3960,60.4
616.289,3980,60.6
616.29,3990,60.8
616.291,4000,61
616.292,4020,61.2
616.293,4030,61.4
616.294,4040,61.6
616.295,4060,61.8
616.296,4070,62
616.297,4090,62.2
616.298,4100,62.5
616.299,4110,62.7
616.3,4130,62.9
616.301,4140,63.1
616.302,4150,63.3
616.303,4170,63.5
616.304,4180,63.7
616.305,4200,63.9
616.306,4210,64.1
616.307,4220,64.8
616.308,4240,65.4
616.309,4250,66
616.31,4260,66.6
616.311,4280,67.3
616.312,4290,67.9
616.313,4300,68.5
616.314,4320,69.1
616.315,4330,69.8
616.316,4340,70.4
616.317,4360,71
616.318,4370,71.6
616.319,4380,72.3
616.32,4400,72.9
616.321,4410,73.5
616.322,4420,74.1
616.323,4440,74.8
616.324,4450,75.4
616.325,4460,76
616.326,4480,76.6
616.327,4490,77.3
616.328,4500,77.9
616.329,4520,78.5
616.33,4530,79.1
616.331,4540,79.8
616.332,4560,80.4
616.333,4570,81
616.334,4580,81.6
616.335,4600,82.3
616.336,4610,82.9
616.337,4620,83.5
616.338,4640,84.1
616.339,4650,84.8
616.34,4660,85.4
616.341,4680,86
616.342,4690,86.6
616.343,4700,87.3
616.344,4720,87.9
616.345,4730,88.5
616.346,4740,89.1
616.347,4760,89.8
616.348,4770,90.4
616.349,4780,91
616.35,4800,91.6
616.351,4810,92.3
616.352,4820,92.9
616.353,4840,93.5
616.354,4850,94.1
616.355,4860,94.8
616.356,4880,95.4
616.357,4890,96
616.358,4900,96.6
616.359,4920,97.3
616.36,4930,97.9
616.361,4940,98.5
616.362,4960,99.1
616.363,4970,99.8
616.364,4980,100
616.365,5000,101
616.366,5010,102
616.367,5020,102
616.368,5040,103
616.369,5050,104
616.37,5060,104
616.371,5080,105
616.372,5090,105
