elevation_m,area_dam2,capacity_dam3
556,1500,126
556.001,1500,126
556.002,1500,126
556.003,1510,126
556.004,1510,127
556.005,1510,127
556.006,1510,127
556.007,1520,127
556.008,1520,127
556.009,1520,127
556.01,1520,127
556.011,1530,127
556.012,1530,128
556.013,1530,128
556.014,1530,128
556.015,1540,128
556.016,1540,128
556.017,1540,128
556.018,1540,128
556.019,1550,128
556.02,1550,129
556.021,1550,129
556.022,1550,129
556.023,1560,129
556.024,1560,129
556.025,1560,129
556.026,1560,129
556.027,1560,130
556.028,1570,130
556.029,1570,130
556.03,1570,130
556.031,1570,130
556.032,1580,130
556.033,1580,130
556.034,1580,130
556.035,1580,131
556.036,1590,131
556.037,1590,131
556.038,1590,131
556.039,1590,131
556.04,1600,131
556.041,1600,131
556.042,1600,131
556.043,1600,132
556.044,1610,132
556.045,1610,132
556.046,1610,132
556.047,1610,132
556.048,1620,132
556.049,1620,132
556.05,1620,132
556.051,1620,133
556.052,1620,133
556.053,1630,133
556.054,1630,133
556.055,1630,133
556.056,1630,133
556.057,1640,133
556.058,1640,134
556.059,1640,134
556.06,1640,134
556.061,1650,134
556.062,1650,134
556.063,1650,134
556.064,1650,134
556.065,1660,134
556.066,1660,135
556.067,1660,135
556.068,1660,135
556.069,1670,135
556.07,1670,135
556.071,1670,135
556.072,1670,135
556.073,1680,135
556.074,1680,136
556.075,1680,136
556.076,1680,136
556.077,1680,136
556.078,1690,136
556.079,1690,136
556.08,1690,136
556.081,1690,137
556.082,1700,137
556.083,1700,137
556.084,1700,137
556.085,1700,137
556.086,1710,137
556.087,1710,137
556.088,1710,137
556.089,1710,138
556.09,1720,138
556.091,1720,138
556.092,1720,138
556.093,1720,138
556.094,1730,138
556.095,1730,138
556.096,1730,138
556.097,1730,139
556.098,1740,139
556.099,1740,139
556.1,1740,139
556.101,1740,139
556.102,1750,139
556.103,1750,139
556.104,1750,140
556.105,1750,140
556.106,1760,140
556.107,1760,140
556.108,1760,140
556.109,1760,140
