elevation_m,area_dam2,capacity_dam3
528,0,0
528.001,0.55,0.055
528.002,1.1,0.11
528.003,1.65,0.165
528.004,2.2,0.22
528.005,2.75,0.275
528.006,3.3,0.33
528.007,3.85,0.385
528.008,4.4,0.44
528.009,4.95,0.495
528.01,5.5,0.55
528.011,6.05,0.605
528.012,6.6,0.66
528.013,7.15,0.715
528.014,7.7,0.77
528.015,8.25,0.825
528.016,8.8,0.88
528.017,9.35,0.935
528.018,9.9,0.99
528.019,10.5,1.05
528.02,11,1.1
528.021,11.5,1.15
528.022,12.1,1.21
528.023,12.7,1.27
528.024,13.2,1.32
528.025,13.7,1.37
528.026,14.3,1.43
528.027,14.9,1.49
528.028,15.4,1.54
528.029,15.9,1.59
528.03,16.5,1.65
528.031,17,1.7
528.032,17.6,1.76
528.033,18.2,1.82
528.034,18.7,1.87
528.035,19.2,1.92
528.036,19.8,1.98
528.037,20.4,2.04
528.038,20.9,2.09
528.039,21.4,2.14
528.04,22,2.2
528.041,22.6,2.26
528.042,23.1,2.31
528.043,23.7,2.37
528.044,24.2,2.42
528.045,24.7,2.47
528.046,25.3,2.53
528.047,25.9,2.59
528.048,26.4,2.64
528.049,26.9,2.69
528.05,27.5,2.75
528.051,28.1,2.81
528.052,28.6,2.86
528.053,29.1,2.91
528.054,29.7,2.97
528.055,30.2,3.02
528.056,30.8,3.08
528.057,31.4,3.14
528.058,31.9,3.19
528.059,32.4,3.24
528.06,33,3.3
528.061,33.6,3.36
528.062,34.1,3.41
528.063,34.6,3.46
528.064,35.2,3.52
528.065,35.8,3.58
528.066,36.3,3.63
528.067,36.9,3.69
528.068,37.4,3.74
528.069,37.9,3.79
528.07,38.5,3.85
528.071,39.1,3.91
528.072,39.6,3.96
528.073,40.1,4.01
528.074,40.7,4.07
528.075,41.3,4.13
528.076,41.8,4.18
528.077,42.3,4.23
528.078,42.9,4.29
528.079,43.4,4.34
528.08,44,4.4
528.081,44.6,4.46
528.082,45.1,4.51
528.083,45.6,4.56
528.084,46.2,4.62
528.085,46.8,4.68
528.086,47.3,4.73
528.087,47.8,4.78
528.088,48.4,4.84
528.089,49,4.9
528.09,49.5,4.95
528.091,50.1,5.01
528.092,50.6,5.06
528.093,51.1,5.11
528.094,51.7,5.17
528.095,52.3,5.23
528.096,52.8,5.28
528.097,53.3,5.33
528.098,53.9,5.39
528.099,54.5,5.45
528.1,55,5.5
528.101,55.5,5.55
528.102,56.1,5.61
528.103,56.6,5.66
528.104,57.2,5.72
528.105,57.8,5.78
