elevation_m,area_dam2,capacity_dam3
559.308,0,0
559.309,0.053,0.001
559.31,0.106,0.002
559.311,0.159,0.002
559.312,0.212,0.003
559.313,0.265,0.004
559.314,0.318,0.005
559.315,0.372,0.006
559.316,0.425,0.006
559.317,0.478,0.007
559.318,0.531,0.008
559.319,0.584,0.009
559.32,0.637,0.01
559.321,0.69,0.011
559.322,0.743,0.011
559.323,0.796,0.012
559.324,0.849,0.013
559.325,0.902,0.014
559.326,0.955,0.015
559.327,1.01,0.015
559.328,1.06,0.016
559.329,1.11,0.017
559.33,1.17,0.018
559.331,1.22,0.019
559.332,1.27,0.019
559.333,1.33,0.02
559.334,1.38,0.021
559.335,1.43,0.022
559.336,1.49,0.023
559.337,1.54,0.023
559.338,1.59,0.024
559.339,1.65,0.025
559.34,1.7,0.026
559.341,1.75,0.027
559.342,1.8,0.028
559.343,1.86,0.028
559.344,1.91,0.029
559.345,1.96,0.03
559.346,2.02,0.031
559.347,2.07,0.032
559.348,2.12,0.032
559.349,2.18,0.033
559.35,2.23,0.034
559.351,2.28,0.035
559.352,2.34,0.036
559.353,2.39,0.036
559.354,2.44,0.037
559.355,2.49,0.038
559.356,2.55,0.039
559.357,2.6,0.04
559.358,2.65,0.04
559.359,2.71,0.041
559.36,2.76,0.042
559.361,2.81,0.043
559.362,2.87,0.044
559.363,2.92,0.045
559.364,2.97,0.045
559.365,3.03,0.046
559.366,3.08,0.047
559.367,3.13,0.048
559.368,3.18,0.049
559.369,3.24,0.049
559.37,3.29,0.05
559.371,3.34,0.051
559.372,3.4,0.052
559.373,3.45,0.053
559.374,3.5,0.053
559.375,3.56,0.054
559.376,3.61,0.055
559.377,3.66,0.056
559.378,3.72,0.057
559.379,3.77,0.057
559.38,3.82,0.058
559.381,3.87,0.059
559.382,3.93,0.06
559.383,3.98,0.061
559.384,4.03,0.062
559.385,4.09,0.062
559.386,4.14,0.063
559.387,4.19,0.064
559.388,4.25,0.065
559.389,4.3,0.066
559.39,4.35,0.066
559.391,4.41,0.067
559.392,4.46,0.068
559.393,4.51,0.069
559.394,4.57,0.07
559.395,4.62,0.07
559.396,4.67,0.071
559.397,4.72,0.072
559.398,4.78,0.073
559.399,4.83,0.074
559.4,4.88,0.075
559.401,4.94,0.075
559.402,4.99,0.076
559.403,5.04,0.077
559.404,5.1,0.078
559.405,5.15,0.079
559.406,5.2,0.079
559.407,5.26,0.08
559.408,5.31,0.081
559.409,5.36,0.082
559.41,5.41,0.083
559.411,5.47,0.083
559.412,5.52,0.084
559.413,5.57,0.085
559.414,5.63,0.086
559.415,5.68,0.087
559.416,5.73,0.087
559.417,5.79,0.088
559.418,5.84,0.089
559.419,5.89,0.09
559.42,5.95,0.091
559.421,6,0.092
559.422,6.05,0.092
559.423,6.1,0.093
559.424,6.16,0.094
559.425,6.21,0.095
559.426,6.26,0.096
559.427,6.32,0.096
559.428,6.37,0.097
559.429,6.42,0.098
559.43,6.48,0.099
559.431,6.53,0.1
559.432,6.58,0.1
559.433,6.64,0.101
559.434,6.69,0.102
559.435,6.74,0.103
559.436,6.79,0.104
559.437,6.85,0.104
559.438,6.9,0.105
559.439,6.95,0.106
559.44,7.01,0.107
559.441,7.06,0.108
559.442,7.11,0.109
559.443,7.17,0.109
559.444,7.22,0.11
559.445,7.27,0.111
559.446,7.33,0.112
559.447,7.38,0.113
559.448,7.43,0.113
559.449,7.48,0.114
559.45,7.54,0.115
559.451,7.59,0.116
559.452,7.64,0.117
559.453,7.7,0.117
559.454,7.75,0.118
559.455,7.8,0.119
559.456,7.86,0.12
559.457,7.91,0.121
559.458,7.96,0.121
559.459,8.02,0.122
559.46,8.07,0.123
559.461,8.12,0.124
559.462,8.17,0.125
559.463,8.23,0.126
559.464,8.28,0.126
559.465,8.33,0.127
559.466,8.39,0.128
559.467,8.44,0.129
559.468,8.49,0.13
559.469,8.55,0.13
559.47,8.6,0.131
559.471,8.65,0.132
559.472,8.71,0.133
559.473,8.76,0.134
559.474,8.81,0.134
559.475,8.86,0.135
559.476,8.92,0.136
559.477,8.97,0.137
559.478,9.02,0.138
559.479,9.08,0.138
559.48,9.13,0.139
559.481,9.18,0.14
559.482,9.24,0.141
559.483,9.29,0.142
559.484,9.34,0.143
559.485,9.4,0.143
559.486,9.45,0.144
559.487,9.5,0.145
559.488,9.55,0.146
559.489,9.61,0.147
559.49,9.66,0.147
559.491,9.71,0.148
559.492,9.77,0.149
559.493,9.82,0.15
559.494,9.87,0.151
559.495,9.93,0.151
559.496,9.98,0.152
559.497,10,0.153
559.498,10.1,0.154
559.499,10.1,0.155
559.5,10.2,0.155
559.501,10.2,0.156
559.502,10.3,0.157
559.503,10.4,0.158
559.504,10.4,0.159
559.505,10.5,0.16
559.506,10.5,0.16
559.507,10.6,0.161
559.508,10.6,0.162
559.509,10.7,0.163
559.51,10.7,0.164
559.511,10.8,0.164
559.512,10.8,0.165
559.513,10.9,0.166
559.514,10.9,0.167
559.515,11,0.168
559.516,11,0.168
559.517,11.1,0.169
559.518,11.1,0.17
559.519,11.2,0.171
559.52,11.3,0.172
559.521,11.3,0.172
559.522,11.4,0.173
559.523,11.4,0.174
559.524,11.5,0.175
559.525,11.5,0.176
559.526,11.6,0.177
559.527,11.6,0.177
559.528,11.7,0.178
559.529,11.7,0.179
559.53,11.8,0.18
559.531,11.8,0.181
559.532,11.9,0.181
559.533,11.9,0.182
559.534,12,0.183
